Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
adrb2,DENVIS D-G,1.0,25.0,17,311765,3118,4.25,0.962,25.033,0.62,25.003,0.018,0.003,25.0,0.6,0.19
aldh1,DENVIS D-G,1.0,1.38,5363,107237,1073,74.053,0.585,1.408,0.502,6.901,0.009,0.006,1.38,0.54,0.07
esr_ago,DENVIS D-G,1.0,8.33,13,4391,44,1.085,0.895,8.515,0.537,8.347,0.04,0.034,8.33,0.66,0.1
esr_antago,DENVIS D-G,1.0,0.99,88,3908,40,0.892,0.497,0.99,0.5,2.229,-0.0,-0.0,0.99,0.52,0.04
fen1,DENVIS D-G,1.0,3.26,360,351078,3511,11.737,0.766,3.268,0.511,3.26,0.007,0.004,3.26,0.58,0.04
gba,DENVIS D-G,1.0,3.03,163,291404,2915,4.941,0.752,3.033,0.51,3.031,0.005,0.002,3.03,0.46,0.03
idh1,DENVIS D-G,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,0.46,0.01
kat2a,DENVIS D-G,1.0,0.52,194,342923,3430,1.009,0.342,0.52,0.498,0.52,-0.001,-0.001,0.52,0.39,0.01
mapk1,DENVIS D-G,1.0,3.58,308,61875,619,11.031,0.784,3.627,0.513,3.581,0.018,0.017,3.58,0.61,0.05
mtorc1,DENVIS D-G,1.0,1.04,97,33069,331,1.01,0.51,1.04,0.5,1.041,0.0,0.0,1.04,0.57,0.01
oprk1,DENVIS D-G,1.0,0.0,24,269499,2695,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,0.82,0.01
pkm2,DENVIS D-G,1.0,0.55,546,245225,2453,3.004,0.355,0.549,0.498,0.55,-0.002,-0.002,0.55,0.49,0.01
pparg,DENVIS D-G,1.0,11.54,24,4095,41,2.773,0.925,12.305,0.553,11.554,0.081,0.079,11.54,0.76,0.15
tp53,DENVIS D-G,1.0,1.28,64,3409,35,0.841,0.563,1.287,0.501,2.403,0.004,0.004,1.28,0.52,0.04
vdr,DENVIS D-G,1.0,4.42,655,263303,2634,28.962,0.817,4.458,0.517,4.422,0.017,0.014,4.42,0.57,0.05
adrb2,GNINA,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,0.52,0.01
aldh1,GNINA,1.0,1.88,5363,107237,1073,100.884,0.663,1.971,0.505,9.402,0.02,0.015,1.88,0.6,0.09
esr_ago,GNINA,1.0,15.38,13,4391,44,2.003,0.941,16.066,0.572,15.412,0.079,0.066,15.38,0.71,0.12
esr_antago,GNINA,1.0,5.88,88,3908,40,5.296,0.869,6.625,0.526,13.241,0.075,0.07,5.88,0.72,0.12
fen1,GNINA,1.0,1.9,360,351078,3511,6.84,0.655,1.902,0.505,1.9,0.003,0.002,1.9,0.55,0.02
gba,GNINA,1.0,9.04,163,291404,2915,14.74,0.901,9.081,0.54,9.043,0.019,0.009,9.04,0.71,0.1
idh1,GNINA,1.0,12.82,39,358796,3588,5.0,0.928,12.836,0.559,12.82,0.012,0.003,12.82,0.69,0.12
kat2a,GNINA,1.0,1.55,194,342923,3430,3.008,0.608,1.55,0.503,1.55,0.001,0.001,1.55,0.41,0.02
mapk1,GNINA,1.0,1.62,308,61875,619,4.992,0.619,1.625,0.503,1.621,0.004,0.004,1.62,0.62,0.02
mtorc1,GNINA,1.0,1.03,97,33069,331,1.0,0.507,1.03,0.5,1.031,0.0,0.0,1.03,0.49,0.01
oprk1,GNINA,1.0,8.33,24,269499,2695,1.999,0.893,8.335,0.537,8.33,0.007,0.001,8.33,0.8,0.07
pkm2,GNINA,1.0,0.55,546,245225,2453,3.004,0.355,0.549,0.498,0.55,-0.002,-0.002,0.55,0.61,0.01
pparg,GNINA,1.0,7.41,24,4095,41,1.781,0.885,7.701,0.532,7.419,0.049,0.048,7.41,0.76,0.06
tp53,GNINA,1.0,1.27,64,3409,35,0.834,0.561,1.277,0.501,2.384,0.004,0.004,1.27,0.56,0.03
vdr,GNINA,1.0,0.79,655,263303,2634,5.176,0.441,0.79,0.499,0.79,-0.001,-0.001,0.79,0.39,0.01
adrb2,DDTA,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,0.37,0.0
aldh1,DDTA,1.0,1.42,5363,107237,1073,76.199,0.592,1.452,0.502,7.102,0.01,0.007,1.42,0.58,0.08
esr_ago,DDTA,1.0,0.0,13,4391,44,0.0,0.0,0.0,0.495,0.0,-0.005,-0.005,0.0,0.66,0.02
esr_antago,DDTA,1.0,0.0,88,3908,40,0.0,0.0,0.0,0.495,0.0,-0.015,-0.014,0.0,0.63,0.04
fen1,DDTA,1.0,0.27,360,351078,3511,0.972,0.212,0.27,0.496,0.27,-0.002,-0.001,0.27,0.49,0.01
gba,DDTA,1.0,4.22,163,291404,2915,6.881,0.809,4.228,0.516,4.221,0.008,0.003,4.22,0.55,0.03
idh1,DDTA,1.0,5.13,39,358796,3588,2.001,0.837,5.132,0.521,5.13,0.004,0.001,5.13,0.7,0.06
kat2a,DDTA,1.0,1.03,194,342923,3430,1.999,0.507,1.03,0.5,1.03,0.0,0.0,1.03,0.48,0.02
mapk1,DDTA,1.0,0.65,308,61875,619,2.003,0.394,0.649,0.498,0.65,-0.002,-0.002,0.65,0.58,0.02
mtorc1,DDTA,1.0,1.03,97,33069,331,1.0,0.507,1.03,0.5,1.031,0.0,0.0,1.03,0.47,0.01
oprk1,DDTA,1.0,4.17,24,269499,2695,1.001,0.807,4.171,0.516,4.17,0.003,0.001,4.17,0.69,0.03
pkm2,DDTA,1.0,0.55,546,245225,2453,3.004,0.355,0.549,0.498,0.55,-0.002,-0.002,0.55,0.57,0.01
pparg,DDTA,1.0,0.0,24,4095,41,0.0,0.0,0.0,0.495,0.0,-0.008,-0.007,0.0,0.68,0.0
tp53,DDTA,1.0,2.53,64,3409,35,1.662,0.723,2.606,0.508,4.75,0.022,0.021,2.53,0.57,0.04
vdr,DDTA,1.0,1.02,655,263303,2634,6.683,0.505,1.02,0.5,1.02,0.0,0.0,1.02,0.42,0.01
adrb2,GlideSP@PLANET,1.0,5.55,17,311765,3118,0.944,0.847,5.551,0.523,5.551,0.003,0.0,5.55,0.57,
aldh1,GlideSP@PLANET,1.0,10.33,5363,107237,1073,554.323,0.953,20.301,0.549,51.661,0.215,0.158,10.33,0.78,
esr_ago,GlideSP@PLANET,1.0,7.1,13,4391,44,0.925,0.879,7.231,0.531,7.115,0.033,0.028,7.1,0.51,
esr_antago,GlideSP@PLANET,1.0,0.41,88,3908,40,0.369,0.288,0.405,0.497,0.923,-0.009,-0.008,0.41,0.45,
fen1,GlideSP@PLANET,1.0,0.6,360,351078,3511,2.16,0.375,0.6,0.498,0.6,-0.001,-0.001,0.6,0.4,
gba,GlideSP@PLANET,1.0,4.2,163,291404,2915,6.848,0.808,4.208,0.516,4.201,0.008,0.003,4.2,0.58,
idh1,GlideSP@PLANET,1.0,0.14,39,358796,3588,0.055,0.123,0.14,0.496,0.14,-0.001,-0.0,0.14,0.21,
kat2a,GlideSP@PLANET,1.0,1.5,194,342923,3430,2.911,0.6,1.5,0.503,1.5,0.001,0.001,1.5,0.49,
mapk1,GlideSP@PLANET,1.0,1.29,308,61875,619,3.975,0.564,1.292,0.501,1.291,0.002,0.002,1.29,0.55,
mtorc1,GlideSP@PLANET,1.0,0.842,97,33069,331,0.818,0.457,0.842,0.499,0.843,-0.001,-0.001,0.842,0.49,
oprk1,GlideSP@PLANET,1.0,4.166,24,269499,2695,1.0,0.806,4.167,0.516,4.166,0.003,0.001,4.166,0.52,
pkm2,GlideSP@PLANET,1.0,4.02,546,245225,2453,21.956,0.802,4.047,0.515,4.021,0.014,0.011,4.02,0.66,
pparg,GlideSP@PLANET,1.0,3.879,24,4095,41,0.932,0.798,3.946,0.514,3.884,0.022,0.021,3.879,0.67,
tp53,GlideSP@PLANET,1.0,2.369,64,3409,35,1.557,0.709,2.433,0.507,4.448,0.019,0.018,2.369,0.64,
vdr,GlideSP@PLANET,1.0,0.43,655,263303,2634,2.818,0.3,0.429,0.497,0.43,-0.003,-0.002,0.43,0.46,
adrb2,dvinaRF20@dlinf9,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,dvinaRF20@dlinf9,1.0,1.66,5363,107237,1073,89.078,0.632,1.72,0.503,8.302,0.015,0.011,1.66,,
esr_ago,dvinaRF20@dlinf9,1.0,15.38,13,4391,44,2.003,0.941,16.066,0.572,15.412,0.079,0.066,15.38,,
esr_antago,dvinaRF20@dlinf9,1.0,2.94,88,3908,40,2.648,0.755,3.078,0.51,6.62,0.03,0.028,2.94,,
fen1,dvinaRF20@dlinf9,1.0,0.81,360,351078,3511,2.916,0.447,0.81,0.499,0.81,-0.001,-0.0,0.81,,
gba,dvinaRF20@dlinf9,1.0,6.63,163,291404,2915,10.81,0.869,6.651,0.528,6.632,0.013,0.006,6.63,,
idh1,dvinaRF20@dlinf9,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
kat2a,dvinaRF20@dlinf9,1.0,0.52,194,342923,3430,1.009,0.342,0.52,0.498,0.52,-0.001,-0.001,0.52,,
mapk1,dvinaRF20@dlinf9,1.0,1.95,308,61875,619,6.008,0.662,1.959,0.505,1.951,0.007,0.006,1.95,,
mtorc1,dvinaRF20@dlinf9,1.0,3.09,97,33069,331,3.0,0.757,3.109,0.51,3.093,0.011,0.01,3.09,,
oprk1,dvinaRF20@dlinf9,1.0,0.0,24,269499,2695,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
pkm2,dvinaRF20@dlinf9,1.0,2.93,546,245225,2453,16.003,0.746,2.943,0.51,2.931,0.009,0.007,2.93,,
pparg,dvinaRF20@dlinf9,1.0,11.11,24,4095,41,2.67,0.922,11.814,0.551,11.124,0.078,0.075,11.11,,
tp53,dvinaRF20@dlinf9,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
vdr,dvinaRF20@dlinf9,1.0,0.68,655,263303,2634,4.456,0.405,0.679,0.498,0.68,-0.002,-0.001,0.68,,
adrb2,Lin_F9@dlinf9,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,Lin_F9@dlinf9,1.0,1.58,5363,107237,1073,84.785,0.62,1.63,0.503,7.902,0.013,0.01,1.58,,
esr_ago,Lin_F9@dlinf9,1.0,0.0,13,4391,44,0.0,0.0,0.0,0.495,0.0,-0.005,-0.005,0.0,,
esr_antago,Lin_F9@dlinf9,1.0,2.94,88,3908,40,2.648,0.755,3.078,0.51,6.62,0.03,0.028,2.94,,
fen1,Lin_F9@dlinf9,1.0,1.9,360,351078,3511,6.84,0.655,1.902,0.505,1.9,0.003,0.002,1.9,,
gba,Lin_F9@dlinf9,1.0,7.23,163,291404,2915,11.789,0.879,7.255,0.531,7.232,0.015,0.007,7.23,,
idh1,Lin_F9@dlinf9,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
kat2a,Lin_F9@dlinf9,1.0,2.06,194,342923,3430,3.997,0.673,2.061,0.505,2.06,0.003,0.001,2.06,,
mapk1,Lin_F9@dlinf9,1.0,1.62,308,61875,619,4.992,0.619,1.625,0.503,1.621,0.004,0.004,1.62,,
mtorc1,Lin_F9@dlinf9,1.0,2.06,97,33069,331,2.0,0.674,2.066,0.505,2.062,0.006,0.005,2.06,,
oprk1,Lin_F9@dlinf9,1.0,4.17,24,269499,2695,1.001,0.807,4.171,0.516,4.17,0.003,0.001,4.17,,
pkm2,Lin_F9@dlinf9,1.0,0.73,546,245225,2453,3.987,0.422,0.73,0.499,0.73,-0.001,-0.001,0.73,,
pparg,Lin_F9@dlinf9,1.0,7.41,24,4095,41,1.781,0.885,7.701,0.532,7.419,0.049,0.048,7.41,,
tp53,Lin_F9@dlinf9,1.0,1.27,64,3409,35,0.834,0.561,1.277,0.501,2.384,0.004,0.004,1.27,,
vdr,Lin_F9@dlinf9,1.0,0.34,655,263303,2634,2.228,0.253,0.339,0.497,0.34,-0.003,-0.003,0.34,,
adrb2,dLin_F9XGB@dlinf9,1.0,11.76,17,311765,3118,1.999,0.922,11.767,0.554,11.761,0.008,0.001,11.76,,
aldh1,dLin_F9XGB@dlinf9,1.0,6.46,5363,107237,1073,346.653,0.901,9.066,0.529,32.307,0.126,0.093,6.46,,
esr_ago,dLin_F9XGB@dlinf9,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,dLin_F9XGB@dlinf9,1.0,3.92,88,3908,40,3.531,0.808,4.203,0.515,8.827,0.045,0.042,3.92,,
fen1,dLin_F9XGB@dlinf9,1.0,2.17,360,351078,3511,7.812,0.685,2.173,0.506,2.17,0.004,0.002,2.17,,
gba,dLin_F9XGB@dlinf9,1.0,9.64,163,291404,2915,15.718,0.906,9.687,0.543,9.643,0.021,0.009,9.64,,
idh1,dLin_F9XGB@dlinf9,1.0,5.13,39,358796,3588,2.001,0.837,5.132,0.521,5.13,0.004,0.001,5.13,,
kat2a,dLin_F9XGB@dlinf9,1.0,7.73,194,342923,3430,15.0,0.886,7.76,0.534,7.732,0.016,0.007,7.73,,
mapk1,dLin_F9XGB@dlinf9,1.0,2.6,308,61875,619,8.011,0.724,2.621,0.508,2.601,0.011,0.011,2.6,,
mtorc1,dLin_F9XGB@dlinf9,1.0,2.06,97,33069,331,2.0,0.674,2.066,0.505,2.062,0.006,0.005,2.06,,
oprk1,dLin_F9XGB@dlinf9,1.0,12.5,24,269499,2695,3.0,0.926,12.513,0.558,12.5,0.011,0.002,12.5,,
pkm2,dLin_F9XGB@dlinf9,1.0,2.56,546,245225,2453,13.982,0.72,2.569,0.508,2.561,0.007,0.006,2.56,,
pparg,dLin_F9XGB@dlinf9,1.0,7.41,24,4095,41,1.781,0.885,7.701,0.532,7.419,0.049,0.048,7.41,,
tp53,dLin_F9XGB@dlinf9,1.0,1.27,64,3409,35,0.834,0.561,1.277,0.501,2.384,0.004,0.004,1.27,,
vdr,dLin_F9XGB@dlinf9,1.0,0.34,655,263303,2634,2.228,0.253,0.339,0.497,0.34,-0.003,-0.003,0.34,,
adrb2,PLANET,0.5,11.76,17,311765,1559,1.0,0.922,11.767,0.527,5.881,0.006,0.001,11.76,0.39,
adrb2,PLANET,1.0,5.88,17,311765,3118,1.0,0.855,5.882,0.524,5.881,0.004,0.001,5.88,0.39,
adrb2,PLANET,5.0,2.35,17,311765,15589,1.998,0.702,2.35,0.534,11.751,0.002,0.0,2.35,0.39,
aldh1,PLANET,0.5,1.36,5363,107237,537,36.524,0.581,1.386,0.501,6.801,0.006,0.003,1.36,0.54,
aldh1,PLANET,1.0,1.38,5363,107237,1073,74.053,0.585,1.408,0.502,6.901,0.009,0.006,1.38,0.54,
aldh1,PLANET,5.0,1.4,5363,107237,5362,375.421,0.588,1.43,0.511,7.002,0.021,0.021,1.4,0.54,
esr_ago,PLANET,0.5,15.37,13,4391,22,1.001,0.941,16.055,0.536,7.701,0.056,0.054,15.37,0.66,
esr_ago,PLANET,1.0,7.68,13,4391,44,1.0,0.887,7.835,0.534,7.696,0.037,0.031,7.68,0.66,
esr_ago,PLANET,5.0,4.61,13,4391,220,3.003,0.823,4.66,0.591,23.097,0.045,0.02,4.61,0.66,
esr_antago,PLANET,0.5,3.8,88,3908,20,1.711,0.802,4.062,0.507,8.557,0.03,0.024,3.8,0.6,
esr_antago,PLANET,1.0,3.88,88,3908,40,3.495,0.806,4.156,0.515,8.737,0.044,0.041,3.88,0.6,
esr_antago,PLANET,5.0,2.34,88,3908,196,10.328,0.707,2.415,0.534,11.736,0.047,0.043,2.34,0.6,
fen1,PLANET,0.5,7.04,360,351078,1756,12.676,0.876,7.084,0.515,3.521,0.014,0.01,7.04,0.6,
fen1,PLANET,1.0,5.14,360,351078,3511,18.505,0.838,5.162,0.521,5.14,0.013,0.008,5.14,0.6,
fen1,PLANET,5.0,2.65,360,351078,17554,47.7,0.726,2.654,0.541,13.25,0.012,0.003,2.65,0.6,
gba,PLANET,0.5,2.4,163,291404,1458,1.957,0.706,2.402,0.504,1.201,0.002,0.001,2.4,0.68,
gba,PLANET,1.0,3.01,163,291404,2915,4.908,0.751,3.013,0.51,3.011,0.005,0.002,3.01,0.68,
gba,PLANET,5.0,2.4,163,291404,14571,19.561,0.706,2.402,0.535,12.001,0.008,0.002,2.4,0.68,
idh1,PLANET,0.5,0.0,39,358796,1794,0.0,0.0,0.0,0.497,0.0,-0.001,-0.0,0.0,0.5,
idh1,PLANET,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,0.5,
idh1,PLANET,5.0,2.05,39,358796,17940,3.998,0.672,2.05,0.526,10.25,0.003,0.0,2.05,0.5,
kat2a,PLANET,0.5,4.14,194,342923,1715,4.017,0.806,4.147,0.508,2.07,0.005,0.003,4.14,0.49,
kat2a,PLANET,1.0,3.1,194,342923,3430,6.015,0.756,3.104,0.511,3.101,0.005,0.002,3.1,0.49,
kat2a,PLANET,5.0,1.34,194,342923,17147,12.999,0.573,1.34,0.509,6.7,0.002,0.0,1.34,0.49,
mapk1,PLANET,0.5,0.64,308,61875,310,0.988,0.39,0.639,0.499,0.321,-0.002,-0.002,0.64,0.61,
mapk1,PLANET,1.0,1.29,308,61875,619,3.975,0.564,1.292,0.501,1.291,0.002,0.002,1.29,0.61,
mapk1,PLANET,5.0,1.36,308,61875,3094,20.946,0.577,1.362,0.509,6.801,0.006,0.003,1.36,0.61,
mtorc1,PLANET,0.5,2.05,97,33069,166,0.998,0.673,2.056,0.503,1.029,0.004,0.004,2.05,0.46,
mtorc1,PLANET,1.0,2.05,97,33069,331,1.99,0.673,2.056,0.505,2.052,0.006,0.005,2.05,0.46,
mtorc1,PLANET,5.0,1.23,97,33069,1654,5.967,0.552,1.231,0.506,6.152,0.003,0.001,1.23,0.46,
oprk1,PLANET,0.5,0.0,24,269499,1348,0.0,0.0,0.0,0.497,0.0,-0.001,-0.0,0.0,0.45,
oprk1,PLANET,1.0,4.16,24,269499,2695,0.998,0.806,4.161,0.516,4.16,0.003,0.001,4.16,0.45,
oprk1,PLANET,5.0,0.83,24,269499,13475,0.996,0.454,0.83,0.496,4.15,-0.0,-0.0,0.83,0.45,
pkm2,PLANET,0.5,1.83,546,245225,1227,4.999,0.647,1.833,0.502,0.916,0.003,0.003,1.83,0.56,
pkm2,PLANET,1.0,1.83,546,245225,2453,9.995,0.647,1.833,0.504,1.831,0.004,0.003,1.83,0.56,
pkm2,PLANET,5.0,1.35,546,245225,12262,36.857,0.575,1.351,0.509,6.75,0.004,0.001,1.35,0.56,
pparg,PLANET,0.5,0.0,24,4095,21,0.0,0.0,0.0,0.497,0.0,-0.006,-0.006,0.0,0.7,
pparg,PLANET,1.0,3.66,24,4095,41,0.879,0.788,3.718,0.513,3.664,0.021,0.02,3.66,0.7,
pparg,PLANET,5.0,3.7,24,4095,205,4.445,0.79,3.76,0.568,18.523,0.048,0.029,3.7,0.7,
tp53,PLANET,0.5,2.44,64,3409,18,0.825,0.715,2.509,0.504,4.581,0.015,0.012,2.44,0.58,
tp53,PLANET,1.0,2.5,64,3409,35,1.643,0.72,2.574,0.508,4.693,0.021,0.02,2.5,0.58,
tp53,PLANET,5.0,1.51,64,3409,171,4.848,0.604,1.525,0.513,7.574,0.016,0.014,1.51,0.58,
vdr,PLANET,0.5,1.58,655,263303,1317,5.176,0.613,1.582,0.501,0.79,0.002,0.002,1.58,0.44,
vdr,PLANET,1.0,1.02,655,263303,2634,6.683,0.505,1.02,0.5,1.02,0.0,0.0,1.02,0.44,
vdr,PLANET,5.0,0.93,655,263303,13166,30.459,0.482,0.93,0.498,4.65,-0.001,-0.0,0.93,0.44,
adrb2,ConBAP,0.5,10.523,17,311765,1559,0.895,0.913,10.528,0.524,5.262,0.005,0.001,10.523,0.385,
adrb2,ConBAP,1.0,5.262,17,311765,3118,0.895,0.84,5.263,0.521,5.263,0.003,0.0,5.262,0.385,
adrb2,ConBAP,5.0,1.053,17,311765,15589,0.895,0.513,1.053,0.501,5.265,0.0,0.0,1.053,0.385,
aldh1,ConBAP,0.5,8.176,5363,107237,537,219.573,0.929,13.14,0.519,40.889,0.117,0.066,8.176,0.72,
aldh1,ConBAP,1.0,6.822,5363,107237,1073,366.079,0.908,9.837,0.531,34.117,0.134,0.099,6.822,0.72,
aldh1,ConBAP,5.0,4.288,5363,107237,5362,1149.859,0.838,5.186,0.587,21.445,0.173,0.173,4.288,0.72,
esr_ago,ConBAP,0.5,19.446,13,4391,22,1.267,0.954,20.573,0.546,9.743,0.071,0.069,19.446,0.544,
esr_ago,ConBAP,1.0,9.914,13,4391,44,1.291,0.911,10.184,0.545,9.934,0.049,0.041,9.914,0.544,
esr_ago,ConBAP,5.0,1.998,13,4391,220,1.301,0.667,2.004,0.525,10.01,0.012,0.006,1.998,0.544,
esr_antago,ConBAP,0.5,3.116,88,3908,20,1.403,0.766,3.276,0.506,7.017,0.023,0.018,3.116,0.628,
esr_antago,ConBAP,1.0,3.116,88,3908,40,2.807,0.766,3.276,0.511,7.017,0.033,0.03,3.116,0.628,
esr_antago,ConBAP,5.0,2.591,88,3908,196,11.435,0.729,2.69,0.541,12.995,0.055,0.051,2.591,0.628,
fen1,ConBAP,0.5,0.196,360,351078,1756,0.353,0.164,0.196,0.498,0.098,-0.002,-0.001,0.196,0.385,
fen1,ConBAP,1.0,0.349,360,351078,3511,1.256,0.259,0.349,0.497,0.349,-0.002,-0.001,0.349,0.385,
fen1,ConBAP,5.0,0.389,360,351078,17554,7.002,0.28,0.389,0.485,1.945,-0.004,-0.001,0.389,0.385,
gba,ConBAP,0.5,6.279,163,291404,1458,5.121,0.863,6.298,0.513,3.142,0.009,0.005,6.279,0.632,
gba,ConBAP,1.0,4.187,163,291404,2915,6.827,0.807,4.194,0.516,4.188,0.008,0.003,4.187,0.632,
gba,ConBAP,5.0,1.885,163,291404,14571,15.364,0.653,1.886,0.522,9.426,0.005,0.001,1.885,0.632,
idh1,ConBAP,0.5,1.966,39,358796,1794,0.383,0.663,1.966,0.502,0.983,0.001,0.0,1.966,0.474,
idh1,ConBAP,1.0,1.404,39,358796,3588,0.548,0.584,1.404,0.502,1.404,0.0,0.0,1.404,0.474,
idh1,ConBAP,5.0,1.011,39,358796,17940,1.971,0.503,1.011,0.5,5.055,0.0,0.0,1.011,0.474,
kat2a,ConBAP,0.5,1.015,194,342923,1715,0.985,0.504,1.015,0.5,0.508,0.0,0.0,1.015,0.453,
kat2a,ConBAP,1.0,0.508,194,342923,3430,0.986,0.337,0.508,0.498,0.508,-0.001,-0.001,0.508,0.453,
kat2a,ConBAP,5.0,0.609,194,342923,17147,5.908,0.378,0.609,0.49,3.045,-0.002,-0.0,0.609,0.453,
mapk1,ConBAP,0.5,0.59,308,61875,310,0.91,0.371,0.589,0.499,0.296,-0.002,-0.002,0.59,0.617,
mapk1,ConBAP,1.0,0.792,308,61875,619,2.44,0.442,0.791,0.499,0.792,-0.001,-0.001,0.792,0.617,
mapk1,ConBAP,5.0,1.438,308,61875,3094,22.147,0.59,1.441,0.511,7.191,0.007,0.004,1.438,0.617,
mtorc1,ConBAP,0.5,0.526,97,33069,166,0.256,0.344,0.525,0.499,0.264,-0.002,-0.002,0.526,0.476,
mtorc1,ConBAP,1.0,0.421,97,33069,331,0.409,0.296,0.42,0.497,0.421,-0.003,-0.003,0.421,0.476,
mtorc1,ConBAP,5.0,0.716,97,33069,1654,3.474,0.417,0.715,0.493,3.581,-0.004,-0.002,0.716,0.476,
oprk1,ConBAP,0.5,0.0,24,269499,1348,0.0,0.0,0.0,0.497,0.0,-0.001,-0.0,0.0,0.568,
oprk1,ConBAP,1.0,0.0,24,269499,2695,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,0.568,
oprk1,ConBAP,5.0,2.399,24,269499,13475,2.879,0.706,2.399,0.535,11.995,0.003,0.0,2.399,0.568,
pkm2,ConBAP,0.5,1.175,546,245225,1227,3.21,0.54,1.175,0.5,0.588,0.001,0.001,1.175,0.613,
pkm2,ConBAP,1.0,1.175,546,245225,2453,6.417,0.54,1.175,0.501,1.175,0.001,0.001,1.175,0.613,
pkm2,ConBAP,5.0,1.541,546,245225,12262,42.072,0.607,1.543,0.514,7.705,0.006,0.002,1.541,0.613,
pparg,ConBAP,0.5,2.953,24,4095,21,0.363,0.749,2.987,0.505,1.731,0.011,0.011,2.953,0.753,
pparg,ConBAP,1.0,2.771,24,4095,41,0.666,0.737,2.8,0.509,2.774,0.014,0.013,2.771,0.753,
pparg,ConBAP,5.0,3.29,24,4095,205,3.953,0.769,3.335,0.558,16.47,0.04,0.024,3.29,0.753,
tp53,ConBAP,0.5,2.36,64,3409,18,0.798,0.708,2.423,0.504,4.431,0.014,0.011,2.36,0.637,
tp53,ConBAP,1.0,1.18,64,3409,35,0.775,0.542,1.184,0.501,2.215,0.003,0.002,1.18,0.637,
tp53,ConBAP,5.0,1.18,64,3409,171,3.788,0.542,1.184,0.505,5.919,0.006,0.005,1.18,0.637,
vdr,ConBAP,0.5,0.0,655,263303,1317,0.0,0.0,0.0,0.497,0.0,-0.004,-0.003,0.0,0.419,
vdr,ConBAP,1.0,0.0,655,263303,2634,0.0,0.0,0.0,0.495,0.0,-0.005,-0.004,0.0,0.419,
vdr,ConBAP,5.0,0.392,655,263303,13166,12.839,0.281,0.391,0.485,1.96,-0.007,-0.003,0.392,0.419,
adrb2,MILC-Dock,1.0,5.88,17,311765,3118,1.0,0.855,5.882,0.524,5.881,0.004,0.001,5.88,,
aldh1,MILC-Dock,1.0,0.97,5363,107237,1073,52.052,0.492,0.968,0.5,4.851,-0.001,-0.001,0.97,,
gba,MILC-Dock,1.0,7.98,163,291404,2915,13.012,0.889,8.011,0.535,7.983,0.017,0.007,7.98,,
idh1,MILC-Dock,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
adrb2,Vina,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,Vina,1.0,1.73,5363,107237,1073,92.834,0.643,1.799,0.504,8.652,0.017,0.012,1.73,,
gba,Vina,1.0,4.91,163,291404,2915,8.006,0.831,4.921,0.52,4.912,0.009,0.004,4.91,,
idh1,Vina,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
adrb2,PLANTS,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,PLANTS,1.0,1.66,5363,107237,1073,89.078,0.632,1.72,0.503,8.302,0.015,0.011,1.66,,
gba,PLANTS,1.0,4.91,163,291404,2915,8.006,0.831,4.921,0.52,4.912,0.009,0.004,4.91,,
idh1,PLANTS,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
adrb2,LeDock,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,LeDock,1.0,1.62,5363,107237,1073,86.932,0.626,1.675,0.503,8.102,0.014,0.011,1.62,,
gba,LeDock,1.0,1.84,163,291404,2915,3.0,0.648,1.841,0.504,1.841,0.002,0.001,1.84,,
idh1,LeDock,1.0,5.13,39,358796,3588,2.001,0.837,5.132,0.521,5.13,0.004,0.001,5.13,,
adrb2,rDock,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
