Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
fen1,EHIGN,1.0,52.18,360,351078,3511,187.86,0.982,55.073,0.756,52.183,0.165,0.095,52.18,,
fen1,EHIGN,5.0,14.22,360,351078,17554,255.961,0.935,14.416,0.831,71.1,0.097,0.027,14.22,,
kat2a,EHIGN,0.1,41.47,194,342923,343,8.047,0.977,42.442,0.52,4.148,0.03,0.029,41.47,,
kat2a,EHIGN,0.5,16.67,194,342923,1715,16.174,0.944,16.819,0.539,8.337,0.026,0.016,16.67,,
kat2a,EHIGN,1.0,16.67,194,342923,3430,32.347,0.944,16.819,0.578,16.674,0.037,0.017,16.67,,
kat2a,EHIGN,5.0,4.58,194,342923,17147,44.428,0.821,4.589,0.59,22.901,0.02,0.004,4.58,,
pkm2,EHIGN,0.1,21.78,546,245225,246,11.929,0.958,22.839,0.51,4.849,0.031,0.029,21.78,,
pkm2,EHIGN,0.5,7.33,546,245225,1227,20.025,0.881,7.435,0.516,3.668,0.021,0.02,7.33,,
pkm2,EHIGN,1.0,8.08,546,245225,2453,44.13,0.891,8.21,0.535,8.082,0.034,0.026,8.08,,
pkm2,EHIGN,5.0,4.56,546,245225,12262,124.496,0.821,4.597,0.589,22.801,0.039,0.015,4.56,,
aldh1,EHIGN,0.1,14.99,5363,107237,108,80.963,0.983,56.884,0.507,74.966,0.102,0.028,14.99,,
aldh1,EHIGN,0.5,12.14,5363,107237,537,326.029,0.967,29.355,0.529,60.713,0.181,0.102,12.14,,
aldh1,EHIGN,1.0,9.9,5363,107237,1073,531.249,0.949,18.627,0.547,49.511,0.205,0.151,9.9,,
aldh1,EHIGN,5.0,5.49,5363,107237,5362,1472.185,0.878,7.189,0.618,27.456,0.236,0.236,5.49,,
gba,EHIGN,0.1,96.87,163,291404,292,15.822,0.99,102.362,0.548,9.707,0.072,0.069,96.87,,
gba,EHIGN,0.5,38.96,163,291404,1458,31.774,0.975,39.806,0.595,19.493,0.064,0.038,38.96,,
gba,EHIGN,1.0,26.82,163,291404,2915,43.731,0.965,27.213,0.629,26.829,0.061,0.027,26.82,,
gba,EHIGN,5.0,7.8,163,291404,14571,63.573,0.887,7.83,0.67,39.002,0.037,0.008,7.8,,
mapk1,EHIGN,0.1,37.96,308,61875,62,11.715,0.979,46.571,0.519,18.896,0.083,0.062,37.96,,
mapk1,EHIGN,0.5,12.98,308,61875,310,20.03,0.932,13.808,0.53,6.503,0.06,0.06,12.98,,
mapk1,EHIGN,1.0,9.08,308,61875,619,27.978,0.904,9.462,0.541,9.084,0.057,0.054,9.08,,
mapk1,EHIGN,5.0,3.37,308,61875,3094,51.902,0.773,3.41,0.56,16.851,0.038,0.022,3.37,,
vdr,EHIGN,0.1,38.7,655,263303,264,25.416,0.977,42.716,0.519,9.627,0.06,0.054,38.7,,
vdr,EHIGN,0.5,20.77,655,263303,1317,68.047,0.956,21.847,0.55,10.389,0.07,0.066,20.77,,
vdr,EHIGN,1.0,18.82,655,263303,2634,123.316,0.952,19.695,0.589,18.827,0.089,0.071,18.82,,
vdr,EHIGN,5.0,7.01,655,263303,13166,229.592,0.877,7.117,0.651,35.052,0.069,0.029,7.01,,
adrb2,GenScore(ft_0.5),0.5,47.04,17,311765,1559,3.999,0.979,47.158,0.615,23.523,0.024,0.005,47.04,0.559,0.229
adrb2,GenScore(ft_0.5),1.0,23.53,17,311765,3118,4.001,0.959,23.559,0.613,23.533,0.017,0.002,23.53,0.559,0.229
adrb2,GenScore(ft_0.5),5.0,4.71,17,311765,15589,4.004,0.825,4.711,0.593,23.551,0.006,0.0,4.71,0.559,0.229
aldh1,GenScore(ft_0.5),0.5,1.73,5363,107237,537,46.46,0.643,1.799,0.502,8.652,0.012,0.007,1.73,0.571,0.085
aldh1,GenScore(ft_0.5),1.0,1.67,5363,107237,1073,89.615,0.634,1.731,0.504,8.352,0.015,0.011,1.67,0.571,0.085
aldh1,GenScore(ft_0.5),5.0,1.56,5363,107237,5362,418.326,0.616,1.607,0.515,7.802,0.029,0.029,1.56,0.571,0.085
esr_ago,GenScore(ft_0.5),0.5,30.75,13,4391,22,2.003,0.971,33.73,0.575,15.407,0.115,0.111,30.75,0.634,0.152
esr_ago,GenScore(ft_0.5),1.0,15.37,13,4391,44,2.002,0.941,16.055,0.572,15.402,0.079,0.066,15.37,0.634,0.152
esr_ago,GenScore(ft_0.5),5.0,3.07,13,4391,220,2.0,0.755,3.089,0.552,15.381,0.026,0.012,3.07,0.634,0.152
esr_antago,GenScore(ft_0.5),0.5,3.81,88,3908,20,1.716,0.803,4.074,0.507,8.579,0.031,0.024,3.81,0.61,0.065
