clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
spyRMSD,method6,RFScoreVSCORCH,24.12,16.67,19.6,24.24,9.48,12.85,19.72,38.05,37.36,46.75,8.36,11.43,0.0,10.0,27.66,3.43,9.75,12.85,35.14,23.76,20.36,9.38,18.34,27.39,27.54,34.48,7.72,32.0,23.94,20.426551724137934
spyRMSD,method7,RFScoreVSCORCH,32.34,12.77,17.7,29.84,13.07,8.74,20.63,38.48,35.8,40.58,10.46,10.79,0.54,10.0,28.83,3.43,7.58,27.05,33.38,20.04,21.09,14.66,19.36,24.31,26.01,38.11,11.59,28.92,18.95,20.863793103448277
spyRMSD,method1,RTMScoreCORCH,18.64,14.19,1.26,5.22,17.07,5.14,5.16,28.97,6.79,43.22,2.09,9.52,4.85,6.67,10.59,6.85,2.17,2.7,0.0,28.95,5.82,5.28,9.17,5.14,25.25,10.89,7.72,35.69,11.97,11.62
spyRMSD,method2,RTMScoreCORCH,12.06,9.22,1.26,4.48,9.48,2.06,6.07,21.62,5.49,25.58,0.0,2.54,3.23,0.0,4.12,3.43,6.5,3.38,0.0,20.79,4.36,4.11,12.23,2.4,25.25,9.07,6.76,20.92,6.98,8.04793103448276
spyRMSD,method3,RTMScoreCORCH,7.67,3.9,0.63,5.22,7.8,1.03,6.98,14.27,3.4,9.7,4.18,2.54,2.16,0.0,8.83,1.14,4.33,4.73,0.0,18.56,0.73,4.11,5.09,4.11,19.89,6.35,5.79,12.92,7.98,6.001379310344826
spyRMSD,method4,RTMScoreCORCH,6.58,9.22,0.63,6.34,8.22,1.03,11.53,18.59,2.35,8.82,2.09,0.63,2.69,3.33,14.71,2.28,5.42,4.73,0.0,20.79,1.45,5.28,3.06,2.74,18.36,6.35,6.76,15.38,6.98,6.770344827586206
spyRMSD,method5,RTMScoreCORCH,10.96,5.68,0.63,4.85,9.27,1.54,6.67,22.92,3.4,18.52,2.09,3.17,3.23,0.0,3.53,3.43,3.25,2.03,0.0,20.79,2.91,5.28,8.15,2.4,19.13,9.07,7.72,20.31,8.98,7.238275862068965
spyRMSD,method6,RTMScoreCORCH,10.96,6.39,0.63,4.48,8.43,2.06,5.46,18.59,2.61,29.99,2.09,0.63,0.0,0.0,0.59,0.0,8.67,6.09,0.0,15.59,2.18,2.35,1.02,1.71,15.3,3.63,2.9,16.0,4.99,5.977241379310346
spyRMSD,method7,RTMScoreCORCH,7.67,4.61,1.26,4.48,6.96,1.03,6.37,19.02,1.83,19.41,2.09,0.63,2.16,0.0,0.59,1.14,7.58,4.73,0.0,16.33,3.64,2.35,3.06,1.03,16.83,2.72,7.72,15.38,3.99,5.676206896551725
spyRMSD,method1,CHEMPLPFScoreVSTMScore,32.34,24.48,19.6,15.29,18.13,8.74,10.31,21.62,31.88,47.63,14.64,20.32,11.32,10.0,32.95,25.13,0.0,27.72,19.32,42.31,8.73,29.91,11.21,14.38,35.96,25.41,7.72,28.3,40.9,21.93965517241379
spyRMSD,method2,CHEMPLPFScoreVSTMScore,31.79,24.12,15.17,19.39,15.81,5.65,11.83,13.4,22.73,37.93,16.73,12.7,10.78,10.0,31.78,12.56,0.0,31.78,28.11,28.95,8.0,31.67,11.21,15.41,32.13,22.69,15.45,20.92,36.91,19.848275862068963
spyRMSD,method3,CHEMPLPFScoreVSTMScore,14.8,19.16,4.43,12.68,8.43,1.54,7.28,9.94,6.79,18.52,16.73,11.43,8.08,6.67,22.36,2.28,0.0,19.61,19.32,24.5,0.0,23.46,2.04,12.33,25.25,19.96,6.76,12.92,26.93,12.55862068965517
spyRMSD,method4,CHEMPLPFScoreVSTMScore,15.35,20.22,5.06,11.56,8.22,2.57,6.37,8.65,8.62,19.41,18.82,8.89,4.31,10.0,20.6,5.71,0.0,17.58,12.3,23.76,0.0,23.46,5.09,12.67,29.07,12.7,5.79,10.46,27.93,12.247241379310346
