clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
espsim,method7,CHEMPLPCORCH,3.84,3.9,0.0,1.86,3.16,1.03,6.07,9.94,2.35,4.41,0.0,0.63,1.08,5.58,0.0,1.14,0.0,0.0,0.0,1.48,2.18,1.17,1.02,3.42,13.0,0.0,5.79,11.69,2.15,2.996206896551725
espsim,method1,RFScoreVSTMScore,23.57,8.87,17.07,14.55,12.43,7.2,5.76,41.5,23.78,29.11,10.46,20.31,3.23,5.58,38.84,17.13,0.0,20.96,8.78,23.01,9.45,11.73,5.09,19.86,34.42,12.7,7.72,22.77,12.88,16.16413793103448
espsim,method2,RFScoreVSTMScore,36.18,11.35,15.81,23.5,16.02,2.06,13.35,38.04,25.61,29.11,20.91,19.05,4.31,5.58,35.31,10.28,0.0,22.31,15.81,20.78,24.0,11.14,4.08,17.81,32.89,14.52,6.76,24.0,21.46,18.00103448275862
espsim,method3,RFScoreVSTMScore,24.12,7.81,12.01,16.41,9.69,1.54,9.4,19.89,13.59,18.52,10.46,6.98,7.01,5.58,18.83,3.43,1.08,13.52,17.56,17.81,13.09,12.32,1.02,15.41,24.48,15.43,3.86,18.46,10.73,12.070344827586212
espsim,method4,RFScoreVSTMScore,16.99,8.51,11.38,11.19,8.01,1.54,7.28,17.72,10.71,16.76,8.36,7.62,5.93,0.0,18.24,4.57,1.08,10.14,14.05,18.55,7.27,12.32,1.02,14.72,25.24,12.7,3.86,17.84,4.29,10.272068965517242
espsim,method5,RFScoreVSTMScore,35.08,7.81,18.97,17.16,17.28,1.54,7.89,31.56,21.16,25.58,18.82,11.43,4.31,5.58,31.19,8.0,0.0,22.31,14.05,17.81,10.91,11.73,1.02,13.7,33.66,15.43,7.72,23.38,12.88,15.44689655172414
espsim,method6,RFScoreVSTMScore,27.96,13.48,16.44,24.99,14.54,9.25,16.69,44.09,35.8,29.11,14.64,19.68,1.62,0.0,46.49,13.71,4.33,24.34,24.59,18.55,21.82,16.42,15.28,25.34,34.42,20.87,5.79,20.31,12.88,19.773448275862062
espsim,method7,RFScoreVSTMScore,37.83,13.13,18.34,26.48,16.44,3.6,16.38,41.5,32.4,27.34,14.64,14.6,5.39,5.58,45.31,9.14,1.08,27.05,29.86,18.55,28.36,14.66,6.11,22.94,33.66,19.06,7.72,22.77,17.17,19.89965517241379
espsim,method1,RFScoreVSCORCH,20.83,21.29,8.22,18.27,13.91,8.22,14.86,43.66,17.77,17.64,6.27,8.25,1.08,11.17,26.48,0.0,3.25,16.9,3.51,11.88,13.09,9.38,9.17,11.64,20.65,7.26,10.62,22.15,10.73,13.384482758620686
espsim,method2,RFScoreVSCORCH,25.22,11.71,2.53,22.75,12.85,2.57,16.38,38.47,22.21,18.52,10.46,10.16,2.16,11.17,18.83,0.0,2.17,9.47,8.78,7.42,19.64,10.56,8.15,13.01,20.65,14.52,9.66,19.07,15.02,13.2451724137931
espsim,method3,RFScoreVSCORCH,25.22,11.35,5.06,19.77,12.64,2.06,15.77,25.51,18.55,10.58,8.36,6.35,8.62,11.17,21.18,0.0,3.25,14.2,12.29,9.65,13.82,7.62,6.11,13.35,16.06,13.61,8.69,19.07,21.46,12.46103448275862
espsim,method4,RFScoreVSCORCH,20.83,19.16,6.96,17.53,13.28,1.54,13.65,27.67,14.37,7.94,4.18,2.54,10.24,16.75,21.77,1.14,4.33,15.55,3.51,16.33,10.18,4.69,7.13,8.9,16.83,0.91,9.66,19.07,15.02,11.436551724137932
espsim,method5,RFScoreVSCORCH,24.12,8.51,3.79,13.05,12.85,1.03,11.53,32.85,18.55,15.88,10.46,8.25,2.16,5.58,10.59,1.14,2.17,8.79,0.0,5.94,13.09,9.97,5.09,7.19,17.59,5.44,10.62,20.31,10.73,10.250689655172414
espsim,method6,RFScoreVSCORCH,21.38,11.71,14.54,20.14,8.22,7.2,14.86,40.64,30.83,20.29,6.27,4.44,0.54,11.17,32.36,3.43,3.25,11.5,12.29,5.2,14.55,5.86,4.08,20.55,22.95,8.17,5.79,21.54,8.58,13.528620689655174
espsim,method7,RFScoreVSCORCH,25.22,8.51,10.12,21.63,9.48,3.08,15.77,40.2,27.96,21.17,6.27,4.44,1.08,11.17,27.66,1.14,2.17,13.52,14.05,5.2,17.45,8.21,6.11,16.44,20.65,13.61,9.66,20.92,10.73,13.573103448275862
espsim,method1,RTMScoreCORCH,13.7,7.1,0.0,2.24,9.27,6.68,5.76,36.75,8.88,16.76,4.18,5.71,3.23,16.75,22.36,5.71,1.08,4.73,1.76,15.59,4.36,2.35,0.0,5.48,18.36,0.91,1.93,21.54,4.29,8.533103448275863
espsim,method2,RTMScoreCORCH,8.77,3.9,1.26,2.98,6.32,2.06,5.16,22.91,4.7,15.88,12.55,3.17,3.23,11.17,8.24,2.28,0.0,1.35,0.0,11.13,4.36,1.76,0.0,5.14,21.42,1.81,3.86,15.38,0.0,6.234137931034481
espsim,method3,RTMScoreCORCH,7.67,2.13,2.53,4.1,5.69,0.51,3.64,10.81,2.87,7.94,10.46,3.17,2.16,11.17,6.47,1.14,1.08,2.7,1.76,13.36,1.45,2.93,0.0,3.42,14.53,1.81,5.79,11.69,0.0,4.930344827586207
espsim,method4,RTMScoreCORCH,7.13,5.32,1.26,4.85,7.38,0.51,7.58,15.13,3.4,3.53,0.0,1.27,2.69,11.17,13.53,2.28,1.08,3.38,3.51,13.36,0.0,3.52,0.0,3.42,12.24,0.91,5.79,9.84,0.0,4.968275862068965
espsim,method5,RTMScoreCORCH,8.77,2.84,0.0,3.36,6.95,1.03,5.76,21.61,3.4,17.64,12.55,3.17,4.31,16.75,5.3,3.43,0.0,1.35,0.0,11.13,2.18,1.76,0.0,5.14,17.59,3.63,4.83,14.15,2.15,6.233793103448276
espsim,method6,RTMScoreCORCH,6.03,2.84,0.63,3.73,5.69,3.08,6.37,20.75,2.35,10.58,0.0,0.63,0.54,5.58,1.77,2.28,0.0,4.73,0.0,6.68,1.45,2.93,1.02,3.42,13.0,0.0,2.9,14.15,0.0,4.245862068965518
espsim,method7,RTMScoreCORCH,5.48,2.84,0.0,4.48,5.27,0.51,6.67,17.72,2.87,10.58,0.0,0.0,1.62,5.58,0.59,3.43,1.08,2.03,0.0,9.65,2.18,3.52,0.0,3.77,14.53,0.0,4.83,12.31,0.0,4.191034482758621
espsim,method1,CHEMPLPFScoreVSTMScore,25.22,15.26,20.23,11.19,12.64,6.17,4.85,25.51,20.38,25.58,14.64,17.14,6.47,5.58,39.43,13.71,0.0,18.93,19.32,23.75,7.27,20.53,4.08,15.07,32.89,13.61,8.69,15.38,15.02,15.811724137931032
espsim,method2,CHEMPLPFScoreVSTMScore,29.6,17.38,17.7,13.43,12.64,1.03,6.67,14.27,18.29,24.7,18.82,12.06,9.16,5.58,32.95,9.14,0.0,18.26,22.83,21.52,8.0,21.7,5.09,14.72,30.6,13.61,8.69,16.0,23.61,15.450000000000001
espsim,method3,CHEMPLPFScoreVSTMScore,16.45,15.26,11.38,10.44,8.64,1.54,5.46,9.94,8.36,17.64,12.55,9.52,10.24,5.58,18.83,4.57,0.0,9.47,17.56,18.55,2.18,15.25,3.06,11.3,22.95,9.98,3.86,12.31,19.32,10.765172413793106
espsim,method4,CHEMPLPFScoreVSTMScore,15.9,12.42,13.91,5.59,7.8,1.54,4.25,8.21,7.84,10.58,12.55,6.35,10.78,11.17,18.83,4.57,0.0,8.11,19.32,17.81,3.64,18.18,1.02,11.3,24.48,12.7,4.83,9.23,8.58,10.051379310344826
espsim,method5,CHEMPLPFScoreVSTMScore,26.86,13.84,18.34,11.93,13.7,1.54,3.64,14.27,16.72,21.17,16.73,9.52,8.08,5.58,27.66,9.14,0.0,17.58,19.32,22.27,9.45,19.35,3.06,13.01,30.6,12.7,8.69,14.15,23.61,14.22448275862069
espsim,method6,CHEMPLPFScoreVSTMScore,31.8,16.32,21.5,24.99,15.8,10.79,16.69,45.39,34.23,27.34,14.64,17.78,4.31,5.58,47.07,13.71,3.25,22.99,26.34,21.52,19.64,21.7,13.24,25.0,35.19,22.69,9.66,17.23,12.88,20.66448275862069
espsim,method7,CHEMPLPFScoreVSTMScore,36.18,16.67,20.23,24.99,16.65,3.6,15.47,39.77,30.05,27.34,16.73,13.97,8.08,5.58,44.13,11.42,1.08,25.02,31.61,20.78,24.73,22.29,7.13,21.57,34.42,16.33,11.59,22.77,17.17,20.25344827586207
espsim,method1,CHEMPLPFScoreVSCORCH,19.73,22.71,20.87,16.04,10.33,6.17,9.71,28.96,17.51,14.11,12.55,9.52,9.7,0.0,23.54,1.14,2.17,12.85,24.59,14.84,9.45,18.77,5.09,13.7,26.01,11.8,15.45,18.46,15.02,14.165172413793096
espsim,method2,CHEMPLPFScoreVSCORCH,22.48,22.35,15.18,16.78,11.38,3.08,13.65,24.21,18.81,14.11,10.46,8.89,9.7,5.58,22.95,2.28,1.08,13.52,22.83,13.36,12.36,22.87,6.11,11.64,22.18,12.7,14.48,19.07,23.61,14.40344827586207
espsim,method3,CHEMPLPFScoreVSCORCH,16.99,21.29,8.22,13.8,9.27,0.51,11.22,15.56,12.28,11.47,8.36,8.89,13.47,5.58,18.83,4.57,1.08,6.09,19.32,11.88,9.45,15.25,6.11,9.25,19.12,7.26,12.55,17.23,21.46,11.598620689655172
espsim,method4,CHEMPLPFScoreVSCORCH,18.64,26.96,5.69,8.95,11.17,2.57,9.4,16.43,4.44,11.47,16.73,1.9,15.09,11.17,24.71,4.57,0.0,8.11,17.56,15.59,8.73,14.08,6.11,8.22,18.36,5.44,14.48,11.69,15.02,11.492413793103449
espsim,method5,CHEMPLPFScoreVSCORCH,20.28,22.0,8.22,15.29,10.11,2.06,9.71,16.43,17.51,14.11,8.36,10.79,6.47,5.58,14.71,1.14,0.0,9.47,17.56,11.13,10.91,24.63,7.13,7.88,18.36,7.26,12.55,17.23,21.46,12.011724137931033
espsim,method6,CHEMPLPFScoreVSCORCH,21.93,16.32,17.07,17.9,8.01,7.2,16.08,41.93,29.0,20.29,6.27,6.35,1.62,5.58,33.54,5.71,3.25,10.82,19.32,7.42,13.82,6.45,3.06,19.52,24.48,8.17,9.66,21.54,10.73,14.242758620689658
espsim,method7,CHEMPLPFScoreVSCORCH,24.12,14.19,12.01,20.51,10.96,2.57,16.08,39.77,27.7,21.17,8.36,8.25,2.16,11.17,28.83,2.28,1.08,14.88,12.29,8.16,15.27,12.9,5.09,14.38,22.95,11.8,13.52,21.54,15.02,14.44862068965517
espsim,method1,CHEMPLPTMScoreCORCH,11.51,11.0,7.59,2.24,8.43,5.65,4.25,19.02,6.53,11.47,6.27,4.44,3.77,11.17,23.54,5.71,0.0,6.76,7.02,20.04,2.91,11.73,2.04,6.51,26.01,3.63,7.72,16.61,12.88,9.187931034482757
espsim,method2,CHEMPLPTMScoreCORCH,12.06,13.13,6.32,2.98,6.95,2.57,4.55,10.81,4.96,15.0,16.73,3.17,6.47,5.58,15.3,4.57,0.0,4.73,12.29,17.07,1.45,18.77,3.06,5.48,23.71,3.63,10.62,15.38,15.02,9.046896551724137
espsim,method3,CHEMPLPTMScoreCORCH,7.13,11.0,7.59,2.61,5.06,0.51,3.64,5.62,3.66,3.53,12.55,3.81,4.31,5.58,10.59,2.28,0.0,0.68,7.02,11.13,0.73,9.97,1.02,4.45,18.36,3.63,5.79,11.08,6.44,5.854137931034482
espsim,method4,CHEMPLPTMScoreCORCH,10.42,11.0,3.16,1.49,6.32,0.51,6.07,10.38,2.09,2.65,8.36,0.63,8.08,11.17,15.89,2.28,0.0,2.7,5.27,11.88,0.73,8.8,1.02,3.77,17.59,2.72,9.66,6.77,4.29,6.058620689655173
espsim,method5,CHEMPLPTMScoreCORCH,9.87,8.51,6.32,2.61,6.95,1.03,5.16,7.78,4.7,14.11,16.73,1.9,5.93,11.17,12.95,5.71,0.0,2.03,8.78,14.1,1.45,17.59,1.02,5.14,19.89,1.81,9.66,14.77,10.73,7.875862068965517
espsim,method6,CHEMPLPTMScoreCORCH,7.13,5.32,0.63,2.98,5.9,3.6,6.07,20.75,2.35,13.23,0.0,0.63,1.62,0.0,3.53,2.28,0.0,4.73,0.0,11.13,1.45,1.76,1.02,3.08,13.77,0.91,3.86,14.77,6.44,4.79103448275862
espsim,method7,CHEMPLPTMScoreCORCH,6.03,5.32,0.0,3.36,5.48,0.51,6.67,18.16,3.14,11.47,0.0,0.63,2.69,5.58,1.18,3.43,0.0,3.38,0.0,12.62,2.18,4.11,1.02,3.77,15.3,0.0,7.72,13.54,8.58,5.030000000000001
espsim,method1,RFScoreVSTMScoreCORCH,26.31,17.03,16.44,13.05,15.59,7.2,10.62,48.85,25.34,29.99,8.36,19.68,2.16,11.17,39.43,14.85,3.25,13.52,7.02,22.27,13.09,9.38,9.17,17.46,29.83,10.89,7.72,23.38,12.88,16.756206896551724
espsim,method2,RFScoreVSTMScoreCORCH,33.44,12.42,9.48,16.78,16.65,5.14,11.22,46.69,24.04,29.11,20.91,15.24,3.23,16.75,32.95,10.28,2.17,14.2,10.54,20.04,17.45,9.97,3.06,15.75,29.07,13.61,8.69,24.0,15.02,16.824137931034482
espsim,method3,RFScoreVSTMScoreCORCH,17.54,12.06,8.22,14.55,12.01,1.54,11.22,25.07,13.33,15.88,10.46,6.35,7.55,16.75,17.65,3.43,1.08,10.14,12.29,17.81,10.18,9.38,2.04,13.7,20.65,12.7,9.66,18.46,6.44,11.66
espsim,method4,RFScoreVSTMScoreCORCH,17.54,15.26,6.32,12.31,12.22,0.51,12.13,23.78,9.14,12.35,20.91,2.54,8.08,11.17,32.95,2.28,2.17,13.52,10.54,17.81,5.82,10.56,2.04,9.25,19.89,8.17,8.69,18.46,4.29,11.403448275862068
espsim,method5,RFScoreVSTMScoreCORCH,27.41,11.35,8.22,14.55,16.02,2.57,9.4,38.47,20.9,22.93,16.73,10.16,4.31,5.58,27.66,5.71,1.08,11.5,8.78,15.59,13.09,10.56,2.04,12.33,24.48,11.8,9.66,24.61,10.73,13.731724137931035
espsim,method6,RFScoreVSTMScoreCORCH,24.67,12.77,17.7,19.39,11.8,7.71,15.77,48.42,31.88,28.23,6.27,8.25,0.54,5.58,42.96,10.28,3.25,12.17,19.32,17.81,14.55,7.62,7.13,21.57,26.77,9.98,6.76,24.61,12.88,16.435862068965516
espsim,method7,RFScoreVSTMScoreCORCH,26.86,10.64,10.75,20.14,13.91,2.57,16.69,47.12,27.7,25.58,12.55,6.98,3.23,11.17,35.31,4.57,2.17,15.55,14.05,15.59,17.45,12.9,3.06,16.78,23.71,17.24,9.66,22.77,10.73,15.773448275862068
espsim,method1,CHEMPLPFScoreVSTMScoreCORCH,25.76,19.16,16.44,11.93,14.54,7.2,9.4,39.34,20.12,24.7,20.91,16.51,3.23,11.17,39.43,14.85,2.17,17.58,17.56,23.01,9.45,19.94,3.06,13.7,29.83,11.8,13.52,24.61,15.02,17.101379310344825
espsim,method2,CHEMPLPFScoreVSTMScoreCORCH,27.41,20.58,15.18,14.55,13.49,3.6,9.4,26.37,16.46,22.93,16.73,12.06,7.55,5.58,31.78,8.0,1.08,15.55,21.07,21.52,8.73,21.7,3.06,13.01,29.07,13.61,13.52,25.23,19.32,15.797931034482758
espsim,method3,CHEMPLPFScoreVSTMScoreCORCH,16.99,16.32,10.75,12.31,9.9,1.03,9.4,12.97,9.41,16.76,12.55,8.89,10.24,5.58,18.83,4.57,1.08,8.11,17.56,17.81,2.91,14.08,2.04,10.96,21.42,9.07,8.69,19.07,19.32,11.331724137931037
espsim,method4,CHEMPLPFScoreVSTMScoreCORCH,15.35,20.22,7.59,6.71,10.33,1.54,10.62,18.16,4.96,7.94,20.91,3.17,11.32,5.58,31.19,5.71,1.08,8.79,17.56,20.78,5.09,14.66,3.06,7.53,20.65,7.26,10.62,11.69,6.44,10.914137931034482
espsim,method5,CHEMPLPFScoreVSTMScoreCORCH,26.31,16.32,13.28,12.68,14.33,3.08,8.49,26.8,16.2,22.93,16.73,8.25,7.55,11.17,25.89,6.85,0.0,12.85,15.81,21.52,8.73,20.53,4.08,11.3,26.77,10.89,11.59,24.61,17.17,14.57620689655172
espsim,method6,CHEMPLPFScoreVSTMScoreCORCH,26.31,17.74,17.07,18.65,12.22,7.71,15.77,48.42,30.83,27.34,6.27,8.89,2.16,5.58,43.54,12.56,4.33,15.55,21.07,17.81,13.09,12.32,5.09,22.26,27.54,10.89,7.72,22.15,12.88,17.02620689655172
espsim,method7,CHEMPLPFScoreVSTMScoreCORCH,26.31,17.03,13.28,19.77,15.38,1.54,15.77,44.09,25.61,23.82,12.55,8.25,5.39,5.58,34.13,4.57,1.08,16.23,15.81,17.07,14.55,14.66,5.09,14.72,25.24,13.61,11.59,21.54,15.02,15.837241379310347
3DScore,method1,CHEMPLPFScoreVS,23.56,26.96,24.64,16.41,8.66,13.37,15.16,7.34,20.12,20.26,33.46,13.32,16.83,11.59,30.58,5.7,1.08,16.88,33.21,25.98,18.91,30.47,17.29,19.86,33.65,14.52,13.51,11.06,24.89,18.940344827586205
3DScore,method2,CHEMPLPFScoreVS,23.56,26.96,24.64,16.41,8.66,13.37,15.16,7.34,20.12,20.26,33.46,13.32,16.83,11.59,30.58,5.7,1.08,16.88,33.21,25.98,18.91,30.47,17.29,19.86,33.65,14.52,13.51,11.06,24.89,18.940344827586205
3DScore,method3,CHEMPLPFScoreVS,23.56,26.96,24.64,16.41,8.66,13.37,15.16,7.34,20.12,20.26,33.46,13.32,16.83,11.59,30.58,5.7,1.08,16.88,33.21,25.98,18.91,30.47,17.29,19.86,33.65,14.52,13.51,11.06,24.89,18.940344827586205
3DScore,method4,CHEMPLPFScoreVS,19.18,26.61,24.01,10.81,7.39,10.79,12.13,4.32,18.03,15.85,33.46,12.69,16.29,11.59,29.4,2.28,0.0,15.53,31.46,22.27,6.54,29.88,9.16,13.35,33.65,14.52,9.65,8.6,24.89,16.356206896551722
3DScore,method5,CHEMPLPFScoreVS,29.59,26.96,26.54,26.48,12.03,19.53,20.32,9.93,25.34,32.59,31.37,17.12,16.83,10.43,27.64,14.81,4.33,20.93,34.95,28.95,23.27,30.47,20.35,30.82,33.65,15.43,9.65,21.51,27.88,22.40344827586207
3DScore,method6,CHEMPLPFScoreVS,41.1,22.35,29.06,33.93,13.3,20.56,26.99,42.74,37.36,44.92,31.37,17.12,16.83,9.27,39.4,14.81,7.58,33.08,48.94,32.66,37.09,27.54,25.43,33.56,38.23,37.2,19.3,30.73,32.85,29.148275862068967
3DScore,method7,CHEMPLPFScoreVS,41.1,22.35,29.06,33.93,13.3,20.56,26.99,42.74,37.36,44.92,31.37,17.12,16.83,9.27,39.4,14.81,7.58,33.08,48.94,32.66,37.09,27.54,25.43,33.56,38.23,37.2,19.3,30.73,32.85,29.148275862068967
3DScore,method1,CHEMPLPTMScore,18.08,19.87,13.27,1.49,16.68,5.65,0.91,5.18,10.71,28.19,16.73,7.61,10.86,4.64,17.05,10.25,0.0,17.55,0.0,26.72,2.18,14.06,0.0,5.82,30.59,7.26,2.9,14.14,38.83,11.973103448275861
3DScore,method2,CHEMPLPTMScore,18.08,19.87,13.27,1.49,16.68,5.65,0.91,5.18,10.71,28.19,16.73,7.61,10.86,4.64,17.05,10.25,0.0,17.55,0.0,26.72,2.18,14.06,0.0,5.82,30.59,7.26,2.9,14.14,38.83,11.973103448275861
3DScore,method3,CHEMPLPTMScore,18.08,19.87,13.27,1.49,16.68,5.65,0.91,5.18,10.71,28.19,16.73,7.61,10.86,4.64,17.05,10.25,0.0,17.55,0.0,26.72,2.18,14.06,0.0,5.82,30.59,7.26,2.9,14.14,38.83,11.973103448275861
3DScore,method4,CHEMPLPTMScore,15.89,19.51,12.0,1.12,10.77,5.14,0.91,2.16,10.19,15.85,14.64,5.71,8.15,4.64,16.47,2.28,0.0,15.53,0.0,24.5,2.91,15.23,2.03,5.48,27.53,6.35,2.9,7.37,35.84,10.037931034482757
3DScore,method5,CHEMPLPTMScore,20.82,19.51,12.64,2.24,23.01,6.68,0.91,9.5,10.45,45.8,14.64,9.51,8.69,4.64,14.11,19.37,0.0,21.6,0.0,30.43,2.91,14.06,1.02,7.19,27.53,7.26,1.93,24.58,43.81,13.959999999999999
3DScore,method6,CHEMPLPTMScore,20.82,19.51,14.53,2.98,24.07,5.65,0.91,7.77,12.28,43.16,12.55,8.25,8.15,5.79,17.05,15.95,0.0,23.63,0.0,34.14,2.18,14.65,1.02,6.51,29.06,7.26,1.93,22.12,49.78,14.19655172413793
3DScore,method7,CHEMPLPTMScore,20.82,19.51,14.53,2.98,24.07,5.65,0.91,7.77,12.28,43.16,12.55,8.25,8.15,5.79,17.05,15.95,0.0,23.63,0.0,34.14,2.18,14.65,1.02,6.51,29.06,7.26,1.93,22.12,49.78,14.19655172413793
3DScore,method1,CHEMPLPCORCH,5.48,18.09,6.32,3.36,4.64,3.08,6.07,5.61,5.23,13.21,10.46,0.63,8.69,3.48,17.64,0.0,1.08,5.4,1.75,8.17,2.18,13.48,7.12,2.74,22.94,9.98,7.72,14.14,9.96,7.539655172413793
3DScore,method2,CHEMPLPCORCH,5.48,18.09,6.32,3.36,4.64,3.08,6.07,5.61,5.23,13.21,10.46,0.63,8.69,3.48,17.64,0.0,1.08,5.4,1.75,8.17,2.18,13.48,7.12,2.74,22.94,9.98,7.72,14.14,9.96,7.539655172413793
3DScore,method3,CHEMPLPCORCH,5.48,18.09,6.32,3.36,4.64,3.08,6.07,5.61,5.23,13.21,10.46,0.63,8.69,3.48,17.64,0.0,1.08,5.4,1.75,8.17,2.18,13.48,7.12,2.74,22.94,9.98,7.72,14.14,9.96,7.539655172413793
3DScore,method4,CHEMPLPCORCH,7.12,21.29,1.9,2.61,5.28,4.63,8.49,6.48,4.7,7.93,0.0,2.54,7.06,4.64,18.23,1.14,1.08,4.73,0.0,14.85,3.64,12.3,8.14,3.08,22.18,9.98,9.65,7.99,10.95,7.331379310344829
3DScore,method5,CHEMPLPCORCH,4.93,11.71,3.16,4.1,4.86,2.57,4.55,11.66,1.83,15.85,0.0,1.27,3.26,1.16,15.29,0.0,6.49,0.68,1.75,2.23,2.18,6.45,10.17,2.05,16.82,8.17,7.72,12.29,7.96,5.902068965517241
3DScore,method6,CHEMPLPCORCH,3.84,9.93,1.9,2.61,5.49,2.06,4.85,12.09,2.09,17.62,0.0,0.63,0.54,0.0,5.29,0.0,8.66,0.68,1.75,0.74,2.18,3.52,15.26,2.4,13.0,7.26,3.86,12.91,1.99,4.936206896551726
3DScore,method7,CHEMPLPCORCH,3.84,9.93,1.9,2.61,5.49,2.06,4.85,12.09,2.09,17.62,0.0,0.63,0.54,0.0,5.29,0.0,8.66,0.68,1.75,0.74,2.18,3.52,15.26,2.4,13.0,7.26,3.86,12.91,1.99,4.936206896551726
3DScore,method1,RFScoreVSTMScore,33.42,23.41,24.01,20.88,25.97,16.45,11.53,41.44,30.83,49.33,18.82,17.12,7.06,13.91,29.4,26.21,2.16,36.45,10.49,42.31,19.63,23.44,22.38,22.26,41.29,26.32,11.58,38.72,46.79,25.29689655172414
3DScore,method2,RFScoreVSTMScore,33.42,23.41,24.01,20.88,25.97,16.45,11.53,41.44,30.83,49.33,18.82,17.12,7.06,13.91,29.4,26.21,2.16,36.45,10.49,42.31,19.63,23.44,22.38,22.26,41.29,26.32,11.58,38.72,46.79,25.29689655172414
3DScore,method3,RFScoreVSTMScore,33.42,23.41,24.01,20.88,25.97,16.45,11.53,41.44,30.83,49.33,18.82,17.12,7.06,13.91,29.4,26.21,2.16,36.45,10.49,42.31,19.63,23.44,22.38,22.26,41.29,26.32,11.58,38.72,46.79,25.29689655172414
3DScore,method4,RFScoreVSTMScore,27.4,21.99,22.75,16.03,23.44,14.39,5.46,40.58,29.52,48.44,18.82,15.86,5.97,11.59,28.23,26.21,3.25,35.78,1.75,41.57,13.82,21.09,16.28,19.18,39.76,22.69,8.69,38.72,45.8,22.93310344827587
3DScore,method5,RFScoreVSTMScore,31.78,23.41,24.01,18.27,23.01,14.91,10.31,40.58,28.22,50.21,14.64,17.12,6.52,11.59,27.64,27.35,3.25,34.43,20.97,40.83,20.36,24.61,20.35,24.65,40.53,20.87,14.48,38.72,48.78,24.910344827586208
3DScore,method6,RFScoreVSTMScore,41.1,20.93,27.8,34.31,26.39,19.02,23.66,49.64,35.79,50.21,18.82,17.76,11.4,10.43,41.16,26.21,6.49,41.18,43.69,40.08,32.0,23.44,30.52,32.19,39.0,44.46,18.34,40.56,42.81,30.668620689655175
3DScore,method7,RFScoreVSTMScore,41.1,20.93,27.8,34.31,26.39,19.02,23.66,49.64,35.79,50.21,18.82,17.76,11.4,10.43,41.16,26.21,6.49,41.18,43.69,40.08,32.0,23.44,30.52,32.19,39.0,44.46,18.34,40.56,42.81,30.668620689655175
3DScore,method1,RFScoreVSCORCH,28.49,22.7,20.22,23.12,14.36,15.94,23.05,40.15,27.43,41.4,12.55,10.78,4.89,8.11,33.52,4.56,19.48,23.63,20.97,28.95,15.27,14.65,29.5,23.97,24.47,26.32,18.34,38.72,23.89,22.04931034482759
3DScore,method2,RFScoreVSCORCH,28.49,22.7,20.22,23.12,14.36,15.94,23.05,40.15,27.43,41.4,12.55,10.78,4.89,8.11,33.52,4.56,19.48,23.63,20.97,28.95,15.27,14.65,29.5,23.97,24.47,26.32,18.34,38.72,23.89,22.04931034482759
3DScore,method3,RFScoreVSCORCH,28.49,22.7,20.22,23.12,14.36,15.94,23.05,40.15,27.43,41.4,12.55,10.78,4.89,8.11,33.52,4.56,19.48,23.63,20.97,28.95,15.27,14.65,29.5,23.97,24.47,26.32,18.34,38.72,23.89,22.04931034482759
3DScore,method4,RFScoreVSCORCH,20.27,29.09,9.48,19.76,15.41,9.77,18.8,34.97,18.29,39.64,10.46,6.34,4.89,4.64,36.46,2.28,19.48,14.18,6.99,37.11,10.91,12.3,25.43,18.15,22.18,13.61,19.3,36.26,15.93,18.357931034482757
3DScore,method5,RFScoreVSCORCH,22.47,14.54,12.64,14.17,14.99,5.65,11.53,34.53,19.59,37.87,12.55,5.07,2.72,3.48,28.81,1.14,17.32,21.6,10.49,18.56,15.27,13.48,28.49,13.01,19.88,19.06,16.41,35.64,17.92,16.85793103448276
3DScore,method6,RFScoreVSCORCH,28.49,17.38,20.22,25.73,12.03,13.37,20.93,38.85,29.0,39.64,10.46,9.51,3.26,4.64,27.64,7.98,17.32,22.28,26.22,20.78,19.63,9.96,26.45,28.42,28.29,33.57,14.48,33.8,26.88,21.28310344827586
3DScore,method7,RFScoreVSCORCH,28.49,17.38,20.22,25.73,12.03,13.37,20.93,38.85,29.0,39.64,10.46,9.51,3.26,4.64,27.64,7.98,17.32,22.28,26.22,20.78,19.63,9.96,26.45,28.42,28.29,33.57,14.48,33.8,26.88,21.28310344827586
3DScore,method1,RTMScoreCORCH,18.08,14.9,0.63,3.36,19.64,5.14,2.12,29.79,14.63,39.64,0.0,6.34,8.15,4.64,14.7,12.53,7.58,13.5,1.75,29.69,7.27,8.79,10.17,7.53,26.0,5.44,2.9,38.72,19.91,12.880689655172414
3DScore,method2,RTMScoreCORCH,18.08,14.9,0.63,3.36,19.64,5.14,2.12,29.79,14.63,39.64,0.0,6.34,8.15,4.64,14.7,12.53,7.58,13.5,1.75,29.69,7.27,8.79,10.17,7.53,26.0,5.44,2.9,38.72,19.91,12.880689655172414
3DScore,method3,RTMScoreCORCH,18.08,14.9,0.63,3.36,19.64,5.14,2.12,29.79,14.63,39.64,0.0,6.34,8.15,4.64,14.7,12.53,7.58,13.5,1.75,29.69,7.27,8.79,10.17,7.53,26.0,5.44,2.9,38.72,19.91,12.880689655172414
